Material Number,Material Name,Base Unit of Measure,stock,Net Weight,Gross Weight,tax,Standard Price,Plant,Storage Location,MRP
MAT-004020,Barricade Tape,ROL,80,0.4,0.5,12,34.8,P002,SL-B507,38.98
MAT-005001,Office Chair Ergonomic,PC,15,18.5,22.3,18,2340.8,P001,SL-A501,2762.14
MAT-005002,Desk Executive 6ft,PC,8,45.2,52.1,18,4567.9,P002,SL-B601,5390.12
MAT-005003,Filing Cabinet 4-drawer,PC,12,38.6,44.8,18,1890.7,P003,SL-C701,2231.03
MAT-005004,Computer Monitor 24in,PC,25,5.8,7.2,18,1234.5,P001,SL-A502,1456.71
MAT-005005,Keyboard Wireless,PC,40,0.8,1.0,18,234.6,P002,SL-B602,276.83
MAT-005006,Mouse Optical,PC,60,0.15,0.2,18,89.4,P003,SL-C702,105.49
MAT-005007,Printer Laser A4,PC,10,12.5,15.8,18,3456.8,P001,SL-A503,4079.02
MAT-005008,Paper A4 80gsm,REAM,200,2.5,2.8,18,45.9,P002,SL-B603,54.16
MAT-005009,Toner Cartridge,PC,30,1.2,1.5,18,567.8,P003,SL-C703,670.0
MAT-005010,Stapler Heavy Duty,PC,25,0.8,1.0,18,123.5,P001,SL-A504,145.73
MAT-005011,Staples 26/6,BOX,100,0.05,0.06,12,12.3,P002,SL-B604,13.78
MAT-005012,Paper Clips 50mm,BOX,150,0.08,0.1,12,8.9,P003,SL-C704,9.97
MAT-005013,Binder Clips 32mm,BOX,120,0.15,0.18,12,23.7,P001,SL-A505,26.54
MAT-005014,Rubber Stamps,PC,40,0.2,0.25,18,67.8,P002,SL-B605,80.0
MAT-005015,Ink Pad,PC,60,0.1,0.12,18,34.9,P003,SL-C705,41.18
MAT-005016,Correction Fluid,BTL,80,0.05,0.06,12,15.6,P001,SL-A506,17.47
MAT-005017,Marker Permanent,PC,200,0.02,0.025,12,8.5,P002,SL-B606,9.52
MAT-005018,Highlighter Yellow,PC,150,0.015,0.018,12,6.7,P003,SL-C706,7.5
MAT-005019,Pen Ballpoint Blue,PC,300,0.01,0.012,12,4.2,P001,SL-A507,4.7
MAT-005020,Pencil HB,PC,400,0.008,0.01,12,2.8,P002,SL-B607,3.14
MAT-006001,Cleaning Cloth Microfiber,PC,200,0.08,0.1,18,23.5,P001,SL-A601,27.73
MAT-006002,All Purpose Cleaner,LTR,150,1.02,1.12,18,45.8,P002,SL-B701,54.04
MAT-006003,Glass Cleaner,LTR,120,1.0,1.1,18,34.9,P003,SL-C801,41.18
MAT-006004,Floor Cleaner,LTR,100,1.05,1.15,18,67.4,P001,SL-A602,79.53
MAT-006005,Disinfectant Spray,CAN,80,0.6,0.7,18,89.6,P002,SL-B702,105.73
MAT-006006,Toilet Paper 2-ply,ROL,500,0.2,0.25,12,12.8,P003,SL-C802,14.34
MAT-006007,Paper Towels,ROL,300,0.3,0.35,12,23.4,P001,SL-A603,26.21
MAT-006008,Trash Bags 30gal,PC,200,0.05,0.06,12,3.5,P002,SL-B703,3.92
MAT-006009,Vacuum Bags,PC,100,0.02,0.025,12,8.9,P003,SL-C803,9.97
MAT-006010,Air Freshener,CAN,60,0.4,0.5,18,34.7,P001,SL-A604,40.95
MAT-006011,Hand Soap Liquid,LTR,80,1.1,1.2,18,56.8,P002,SL-B704,67.02
MAT-006012,Dish Soap,LTR,100,1.0,1.1,18,45.6,P003,SL-C804,53.81
MAT-006013,Laundry Detergent,KG,50,1.0,1.0,18,123.7,P001,SL-A605,145.97
MAT-006014,Fabric Softener,LTR,60,0.98,1.08,18,78.9,P002,SL-B705,93.1
MAT-006015,Bleach,LTR,40,1.15,1.25,18,34.8,P003,SL-C805,41.06
MAT-006016,Sponge Scrub,PC,300,0.05,0.06,12,5.6,P001,SL-A606,6.27
MAT-006017,Brush Toilet,PC,50,0.3,0.35,18,23.9,P002,SL-B706,28.2
MAT-006018,Mop Cotton,PC,30,0.8,0.95,18,89.5,P003,SL-C806,105.61
MAT-006019,Bucket 10L,PC,40,1.2,1.5,18,67.8,P001,SL-A607,80.0
MAT-006020,Gloves Rubber,PAIR,100,0.15,0.18,12,15.6,P002,SL-B707,17.47
MAT-007001,Water Pump Centrifugal,PC,5,125.8,145.2,18,12450.8,P001,SL-A701,14691.94
MAT-007002,Electric Motor 5HP,PC,8,78.5,89.3,18,5678.9,P002,SL-B801,6701.1
MAT-007003,Gearbox Helical,PC,12,45.2,52.8,18,3456.7,P003,SL-C901,4078.9
MAT-007004,Coupling Flexible,PC,25,2.8,3.2,18,567.8,P001,SL-A702,670.0
MAT-007005,Bearing Pillow Block,PC,40,5.6,6.4,18,234.9,P002,SL-B802,277.18
MAT-007006,Belt V-Type B75,PC,30,1.2,1.4,18,89.6,P003,SL-C902,105.73
MAT-007007,Pulley Cast Iron 150mm,PC,20,8.9,10.2,18,345.8,P001,SL-A703,408.04
MAT-007008,Chain Roller 1/2in,MTR,100,2.1,2.4,18,78.9,P002,SL-B803,93.1
MAT-007009,Sprocket 16T,PC,35,1.8,2.1,18,156.7,P003,SL-C903,184.91
MAT-007010,Gear Spur 20T,PC,25,0.8,0.95,18,234.6,P001,SL-A704,276.83
MAT-007011,Shaft Steel 40mm,MTR,15,9.8,10.8,18,189.5,P002,SL-B804,223.61
MAT-007012,Key Parallel 8x7,PC,200,0.05,0.06,18,12.3,P003,SL-C904,14.51
MAT-007013,Washer Flat M12,PC,500,0.01,0.012,12,2.8,P001,SL-A705,3.14
MAT-007014,Nut Hex M12,PC,400,0.015,0.018,12,4.5,P002,SL-B805,5.04
MAT-007015,Bolt Hex M12x50,PC,300,0.08,0.1,18,8.9,P003,SL-C905,10.5
MAT-007016,Stud Threaded M16,PC,150,0.12,0.15,18,15.6,P001,SL-A706,18.41
MAT-007017,Pin Dowel 6mm,PC,250,0.02,0.025,18,6.7,P002,SL-B806,7.91
MAT-007018,Ring Snap External,PC,180,0.005,0.006,12,3.4,P003,SL-C906,3.81
MAT-007019,Gasket Rubber,PC,100,0.15,0.18,18,23.8,P001,SL-A707,28.08
MAT-007020,O-Ring 25x3,PC,300,0.01,0.012,12,5.0,,,
