Customer_Number,Customer_Name,Terms_of_Payment,Discount_Percentage,Highest_Dunning_Level,Number_of_Open_Invoices,Period
1103,Sanjiv Sharma Trading,60,9.8,1,5,38
1104,Rita Agarwal Manufacturing,15,2.8,5,13,7
1105,Rajeev Patel Distributors,90,15.8,1,0,72
1106,Meera Joshi Suppliers,30,6.2,3,4,21
1107,Subhash Bansal Traders,45,7.5,2,6,28
1108,Smita Verma Industries,75,10.5,2,2,39
1109,Navin Yadav Enterprises,20,3.8,6,10,9
1110,Sita Singh Exporters,60,11.8,1,1,45
1111,Shyam Malhotra Wholesalers,30,5.2,4,8,16
1112,Kamla Kapoor Trading,90,14.5,1,3,63
1113,Rajkumar Kumar Manufacturing,15,1.8,7,15,3
1114,Indira Gupta Distributors,45,8.5,1,4,32
1115,Vinay Sharma Suppliers,75,12.8,1,0,54
1116,Sudha Agarwal Traders,30,4.8,3,7,17
1117,Tarun Patel Industries,60,9.2,2,5,37
1118,Kanta Joshi Enterprises,20,2.2,8,18,5
1119,Narayan Bansal Exporters,90,13.2,1,2,57
1120,Pushpa Verma Wholesalers,30,6.8,2,6,23
1121,Govind Yadav Trading,45,10.2,1,1,36
1122,Urmila Singh Manufacturing,75,11.5,1,4,42
1123,Brijesh Malhotra Distributors,15,3.5,6,12,6
1124,Saroj Kapoor Suppliers,60,8.5,2,3,34
1125,Ramchandra Kumar Traders,30,5.5,4,9,14
1126,Leela Gupta Industries,90,12.5,1,0,66
1127,Jagdish Sharma Enterprises,20,1.2,9,22,1
1128,Sadhana Agarwal Exporters,45,7.8,3,2,30
1129,Ravi Patel Wholesalers,75,9.5,2,5,35
1130,Kamala Joshi Trading,30,4.2,4,8,12
1131,Dharamvir Bansal Manufacturing,60,10.8,1,3,47
1132,Radha Verma Distributors,15,2.5,7,16,4
1133,Krishan Yadav Suppliers,90,14.8,1,1,60
1134,Mala Singh Traders,30,6.5,2,7,19
1135,Omprakash Malhotra Industries,45,9.5,1,4,33
1136,Gita Kapoor Enterprises,75,13.2,1,2,51
1137,Shivkumar Kumar Exporters,20,3.8,5,11,8
1138,Shakuntala Gupta Wholesalers,60,11.2,1,0,48
1139,Baldev Sharma Trading,30,5.8,3,6,20
1140,Sushila Agarwal Manufacturing,90,15.5,1,3,69
1141,Ramavatar Patel Distributors,15,1.5,8,19,2
1142,Kamlesh Joshi Suppliers,45,8.8,2,5,31
1143,Jagmati Bansal Traders,75,10.5,2,1,40
1144,Virendra Verma Industries,30,4.5,4,10,13
1145,Chandrakala Yadav Enterprises,60,9.8,1,2,43
1146,Brij Singh Exporters,20,2.8,6,14,7
1147,Sudama Malhotra Wholesalers,90,12.8,1,4,54
1148,Durgavati Kapoor Trading,30,6.2,3,8,18
1149,Tejpal Kumar Manufacturing,45,7.2,2,6,26
1150,Santosh Gupta Distributors,75,11.8,1,1,46
1151,Kishore Sharma Suppliers,15,3.2,7,13,5
1152,Vidya Agarwal Traders,60,8.2,2,7,32
1153,Baburam Patel Industries,30,5.2,4,9,15
1154,Lalita Joshi Enterprises,90,13.8,1,0,63
1155,Hariom Bansal Exporters,20,1.8,8,17,3
1156,Sheela Verma Wholesalers,45,9.2,1,3,34
1157,Shankarlal Yadav Trading,75,12.2,1,5,49
1158,Rukmani Singh Manufacturing,30,4.8,3,11,14
1159,Banwari Malhotra Distributors,60,10.2,2,2,41
1160,Kamala Kapoor Suppliers,15,2.2,9,21,2
1161,Dayaram Kumar Traders,90,14.2,1,1,60
1162,Parvati Gupta Industries,30,6.8,2,8,21
1163,Bhagwan Sharma Enterprises,45,8.5,3,4,29
1164,Shobha Agarwal Exporters,75,11.5,1,6,44
1165,Chunilal Patel Wholesalers,20,3.5,6,15,6
1166,Basanti Joshi Trading,60,9.5,2,3,38
1167,Gopal Bansal Manufacturing,30,5.5,4,12,16
1168,Sumitra Verma Distributors,90,12.5,1,2,57
1169,Radheshyam Yadav Suppliers,15,1.5,7,18,1
1170,Janaki Singh Traders,45,7.5,3,7,27
1171,Biharilal Malhotra Industries,75,10.8,1,4,42
1172,Sita Kapoor Enterprises,30,4.2,4,13,11
1173,Ramkishan Kumar Exporters,60,8.8,2,5,36
1174,Gayatri Gupta Wholesalers,20,2.8,8,20,4
1175,Balram Sharma Trading,90,13.2,1,1,66
1176,Draupadi Agarwal Manufacturing,30,6.5,3,9,19
1177,Hanuman Patel Distributors,45,9.8,1,2,35
1178,Savitri Joshi Suppliers,75,14.5,1,0,60
1179,Mohandas Bansal Traders,15,3.8,5,16,5
1180,Tulsi Verma Industries,60,11.2,2,6,45
1181,Ghanshyam Yadav Enterprises,30,5.8,4,14,17
1182,Kaushalya Singh Exporters,90,15.2,1,3,72
1183,Lakhan Malhotra Wholesalers,20,1.2,9,24,1
1184,Annapurna Kapoor Trading,45,8.2,2,8,28
1185,Dwarka Kumar Manufacturing,75,12.8,1,1,54
1186,Sharda Gupta Distributors,30,4.5,3,15,13
1187,Kailash Sharma Suppliers,60,10.5,2,4,43
1188,Usha Agarwal Traders,15,2.5,7,19,3
1189,Radhakrishna Patel Industries,90,14.8,1,2,69
1190,Kamladevi Joshi Enterprises,30,6.8,4,10,20
1191,Shivprasad Bansal Exporters,45,7.8,3,7,26
1192,Mayadevi Verma Wholesalers,75,11.8,1,5,48
1193,Chaturbhuj Yadav Trading,20,3.2,6,17,6
1194,Yamuna Singh Manufacturing,60,9.2,2,6,39
1195,Jaichand Malhotra Distributors,30,5.2,4,16,14
1196,Pramila Kapoor Suppliers,90,13.5,1,0,63
1197,Ramprasad Kumar Traders,15,1.8,8,22,2
1198,Gangadevi Gupta Industries,45,8.8,1,9,32
1199,Balgovind Sharma Enterprises,75,10.2,2,3,37
1200,Radhika Agarwal Exporters,30,4.8,3,17,15
1201,Matadin Patel Wholesalers,60,11.5,1,4,46
1202,Shyama Joshi Trading,20,2.2,9,25,1
1203,Ramlal Bansal Manufacturing,90,12.2,1,7,51
1204,Bishambhar Verma Distributors,30,6.2,4,11,18
1205,Jagrani Yadav Suppliers,45,9.5,2,5,34
1206,Ramcharan Singh Traders,75,13.8,1,2,57
1207,Madanlal Malhotra Industries,15,3.5,6,20,4
1208,Dulari Kapoor Enterprises,60,8.5,3,8,33
1209,Girdhari Kumar Exporters,30,5.5,4,18,16
1210,Phoolmati Gupta Wholesalers,90,14.5,1,1,66
1211,Raghuvir Sharma Trading,20,1.5,7,23,1
1212,Sundari Agarwal Manufacturing,45,7.2,3,12,25
1213,Krishnakant Patel Distributors,75,12.5,1,6,52
1214,Vimala Joshi Suppliers,30,4.2,4,19,12
1215,Badrinath Bansal Traders,60,10.8,2,3,44
1216,Kalavati Verma Industries,15,2.8,8,26,3
1217,Nandlal Yadav Enterprises,90,15.8,1,4,75
1218,Gomati Singh Exporters,30,6.5,3,13,21
1219,Tribhuvan Malhotra Wholesalers,45,8.8,1,9,31
1220,Sushama Kapoor Trading,75,11.2,2,5,47
1221,Murlidhar Kumar Manufacturing,20,3.8,5,21,7
1222,Chandramukhi Gupta Distributors,60,9.8,1,7,41
1223,Keshav Sharma Suppliers,30,5.8,4,20,17
1224,Dayavati Agarwal Traders,90,13.2,1,2,60
1225,Bholanath Patel Industries,15,1.2,9,27,1
1226,Ramkali Joshi Enterprises,45,7.5,3,14,28
1227,Shivdutt Bansal Exporters,75,10.5,2,8,38
1228,Rukmini Verma Wholesalers,30,4.5,4,21,13
1229,Kalyanmal Yadav Trading,60,8.2,3,6,35
1230,Saraswati Singh Manufacturing,20,2.5,7,24,4
1231,Raghunath Malhotra Distributors,90,14.8,1,3,72
1232,Shefalika Kapoor Suppliers,30,6.8,2,15,22
1233,Chatarmal Kumar Traders,45,9.2,1,10,33
1234,Kamlavati Gupta Industries,75,12.8,1,4,54
1235,Bharatlal Sharma Enterprises,15,3.2,6,22,5
1236,Pushpavati Agarwal Exporters,60,11.5,2,7,45
1237,Giridharilal Patel Wholesalers,30,5.2,4,22,14
1238,Lakshmidevi Joshi Trading,90,15.5,1,1,69
1239,Ramniwas Bansal Manufacturing,20,1.8,8,28,2
1240,Indumati Verma Distributors,45,8.5,3,16,29
1241,Ramkumar Yadav Suppliers,75,11.8,1,5,48
1242,Geeta Singh Traders,30,4.8,4,23,15
1243,Bhagwandas Malhotra Industries,60,10.2,2,8,42
1244,Rammaya Kapoor Enterprises,15,2.2,9,29,2
1245,Jagdamba Kumar Exporters,90,13.8,1,6,63
1246,Chandra Gupta Wholesalers,30,6.2,3,17,20
1247,Amritlal Sharma Trading,45,7.8,2,11,27
1248,Sitadevi Agarwal Manufacturing,75,9.5,2,9,36
1249,Hanumant Patel Distributors,20,3.5,5,25,6
1250,Kamlabai Joshi Suppliers,60,8.8,1,12,37
1251,Radheshyam Bansal Traders,30,5.5,4,24,16
1252,Shakuntala Verma Industries,90,12.5,1,7,57
1253,Vishnudas Yadav Enterprises,15,1.5,7,26,1
1254,Draupadi Singh Exporters,45,9.8,1,13,35
1255,Shantilal Malhotra Wholesalers,75,14.2,1,3,60
1256,Ansuya Kapoor Trading,30,4.2,4,25,12
1257,Rameshwar Kumar Manufacturing,60,11.2,2,6,46
1258,Gangabai Gupta Distributors,20,2.8,8,30,3
1259,Parasram Sharma Suppliers,90,15.2,1,4,72
1260,Munni Agarwal Traders,30,6.5,3,18,21
1261,Devilal Patel Industries,45,8.2,2,14,28
1262,Basantidevi Joshi Enterprises,75,10.8,1,8,43
1263,Nathuram Bansal Exporters,15,3.8,6,27,4
1264,Kanakdevi Verma Wholesalers,60,9.2,3,10,38
1265,Jagannath Yadav Trading,30,5.8,4,26,17
1266,Ramdulari Singh Manufacturing,90,13.5,1,5,66
1267,Ramkishor Malhotra Distributors,20,1.2,9,31,1
1268,Sarladevi Kapoor Suppliers,45,7.2,3,19,26
1269,Bhikamchand Kumar Traders,75,11.5,2,7,47
1270,Gaumata Gupta Industries,30,4.5,4,27,14
1271,Ramdayal Sharma Enterprises,60,8.5,1,15,36
1272,Shanti Agarwal Exporters,15,2.5,7,28,3
1273,Bhuwaneshwar Patel Wholesalers,90,14.8,1,2,69
1274,Radhika Joshi Trading,30,6.8,2,20,22
1275,Ramgopal Bansal Manufacturing,45,9.5,1,16,34
1276,Janki Verma Distributors,75,12.2,1,9,51
1277,Mahavir Yadav Suppliers,20,3.2,8,32,5
1278,Sita Singh Traders,60,10.5,2,11,44
1279,Laxminarayan Malhotra Industries,30,5.2,4,28,15
1280,Chandrika Kapoor Enterprises,90,15.8,1,6,75
1281,Gangaram Kumar Exporters,15,1.8,7,29,2
1282,Shyamadevi Gupta Wholesalers,45,8.8,3,21,30
1283,Ramsharan Sharma Trading,75,11.8,1,12,48
1284,Tulasi Agarwal Manufacturing,30,4.8,4,29,16
1285,Bhogilal Patel Distributors,60,9.8,2,13,41
1286,Ramlakshmi Joshi Suppliers,20,2.2,9,33,2
1287,Anirudh Bansal Traders,90,13.2,1,8,60
1288,Kamala Verma Industries,30,6.2,3,22,19
1289,Ramvilas Yadav Enterprises,45,7.5,2,17,27
1290,Shivkanya Singh Exporters,75,10.2,2,14,39
1291,Rajaram Malhotra Wholesalers,15,3.5,6,30,4
1292,Savitradevi Kapoor Trading,60,8.2,1,18,35
1293,Dharmendra Kumar Manufacturing,30,5.5,4,30,17
1294,Manorma Gupta Distributors,90,12.8,1,9,57
1295,Rambilas Sharma Suppliers,20,1.5,8,34,1
1296,Kumudini Agarwal Traders,45,9.2,3,23,32
1297,Chaturbhuj Patel Industries,75,13.5,1,10,54
1298,Saroj Joshi Enterprises,30,4.2,4,31,13
1299,Raghubar Bansal Exporters,60,11.8,2,15,47
1300,Phoolkumari Verma Wholesalers,15,2.8,7,35,3
1301,Shivnarayan Yadav Trading,90,14.5,1,7,66
1302,Rambai Singh Manufacturing,30,6.5,2,24,20
1303,Shankar Malhotra Distributors,45,8.5,1,19,29
1304,Santoshi Kapoor Suppliers,75,12.5,1,11,52
1305,Mahesh Kumar Traders,20,3.8,5,36,6
1306,Ramkumari Gupta Industries,60,10.8,2,16,45
1307,Bhagwanlal Sharma Enterprises,30,5.8,4,32,18
1308,Shyamkali Agarwal Exporters,90,15.2,1,4,72
1309,Ramchandra Patel Wholesalers,15,1.2,9,37,1
1310,Indradevi Joshi Trading,45,7.8,3,25,28
1311,Raghuveer Bansal Manufacturing,75,11.2,2,17,46
1312,Gauri Verma Distributors,30,4.5,4,33,14
1313,Ramakant Yadav Suppliers,60,9.5,1,20,40
1314,Shakuntala Singh Traders,20,2.5,8,38,4
1315,Krishnalal Malhotra Industries,90,13.8,1,12,63
1316,Radheyshyam Kapoor Enterprises,30,6.8,3,26,21
1317,Bhagirathi Kumar Exporters,45,8.2,2,21,30
1318,Sumitradevi Gupta Wholesalers,75,10.5,2,18,42
1319,Ramji Sharma Trading,15,3.2,6,39,5
1320,Kamladevi Agarwal Manufacturing,60,11.8,1,13,48
1321,Bhagwan Patel Distributors,30,5.2,4,34,15
1322,Sushila Joshi Suppliers,90,12.2,1,14,54
1323,Ramayan Bansal Traders,20,1.8,7,40,2
1324,Saraswati Verma Industries,45,9.8,3,27,35
1325,Ramnath Yadav Enterprises,75,14.5,1,8,63
1326,Ganga Singh Exporters,30,4.8,4,35,16
1327,Baldev Malhotra Wholesalers,60,8.8,2,22,38
1328,Vimladevi Kapoor Trading,15,2.2,9,41,2
1329,Ramkrishna Kumar Manufacturing,90,15.5,1,5,75
1330,Shobhadevi Gupta Distributors,30,6.2,3,28,20
1331,Ramlal Sharma Suppliers,45,7.5,2,23,29
1332,Urmila Agarwal Traders,75,12.8,1,15,54
1333,Ghanshyam Patel Industries,20,3.5,8,42,6
1334,Pushpabai Joshi Enterprises,60,10.2,2,19,43
1335,Ramavtar Bansal Exporters,30,5.5,4,36,17
1336,Chandramani Verma Wholesalers,90,13.2,1,16,60
1337,Shivprakash Yadav Trading,15,1.5,7,43,1
1338,Mayadevi Singh Manufacturing,45,8.5,1,29,31
1339,Rameshchandra Malhotra Distributors,75,11.5,2,20,49
1340,Kamlesh Kapoor Suppliers,30,4.2,4,37,13
1341,Gangadhar Kumar Traders,60,9.2,3,24,39
1342,Shantidevi Gupta Industries,20,2.8,8,44,4
1343,Bhagwati Sharma Enterprises,90,14.8,1,9,69
1344,Ramkali Agarwal Exporters,30,6.5,2,30,22
1345,Damodar Patel Wholesalers,45,7.8,3,25,28
1346,Savitriba Joshi Trading,75,10.8,1,21,45
1347,Ramkumar Bansal Manufacturing,15,3.8,6,45,5
1348,Annapurna Verma Distributors,60,8.2,2,26,36
1349,Shivram Yadav Suppliers,30,5.8,4,38,18
1350,Radhika Singh Traders,90,12.5,1,17,57
1351,Ramcharan Malhotra Industries,20,1.2,9,46,1
1352,Sushma Kapoor Enterprises,45,9.5,1,31,34
1353,Ramnivas Kumar Exporters,75,13.8,1,11,60
1354,Kamala Gupta Wholesalers,30,4.5,4,39,14
1355,Ramnarayan Sharma Trading,60,11.2,2,22,47
1356,Shakti Agarwal Manufacturing,15,2.5,7,47,3
1357,Krishnagopal Patel Distributors,90,15.2,1,6,72
1358,Ramdei Joshi Suppliers,30,6.8,3,32,21
1359,Bhagwandas Bansal Traders,45,8.8,2,27,31
1360,Sita Verma Industries,75,12.2,1,18,51
1361,Ramkishen Yadav Enterprises,20,3.2,8,48,5
1362,Geetadevi Singh Exporters,60,10.5,2,23,44
1363,Shivlal Malhotra Wholesalers,30,5.2,4,40,15
1364,Radhabai Kapoor Trading,90,13.5,1,19,63
1365,Ramdayal Kumar Manufacturing,15,1.8,7,49,2
1366,Savitri Gupta Distributors,45,7.2,3,33,26
1367,Ramgulam Sharma Suppliers,75,11.8,2,24,48
1368,Shakuntala Agarwal Traders,30,4.8,4,41,16
1369,Ramchander Patel Industries,60,9.8,1,28,41
1370,Kamladevi Joshi Enterprises,20,2.2,9,50,2
1371,Bharat Bansal Exporters,90,14.2,1,13,66
1372,Ansuyadevi Verma Wholesalers,30,6.2,2,34,20
1373,Ramkishor Yadav Trading,45,8.5,3,29,30
1374,Ganga Singh Manufacturing,75,10.2,2,25,40
1375,Ramdhan Malhotra Distributors,15,3.5,6,51,4
1376,Shobha Kapoor Suppliers,60,11.5,1,20,46
1377,Ramkaran Kumar Traders,30,5.5,4,42,17
1378,Saraswati Gupta Industries,90,12.8,1,21,57
1379,Rambihari Sharma Enterprises,20,1.5,8,52,1
1380,Kamala Agarwal Exporters,45,9.2,1,35,33
1381,Bhagwanlal Patel Wholesalers,75,13.5,1,14,60
1382,Shantabai Joshi Trading,30,4.2,4,43,13
1383,Ramgulam Bansal Manufacturing,60,8.8,2,30,38
1384,Geetabai Verma Distributors,15,2.8,7,53,3
1385,Ramchandra Yadav Suppliers,90,15.8,1,7,75
1386,Sushiladevi Singh Traders,30,6.5,3,36,22
1387,Ramkumar Malhotra Industries,45,7.8,2,31,29
1388,Chandrakala Kapoor Enterprises,75,11.2,2,26,47
1389,Ramdas Kumar Exporters,20,3.8,5,54,6
1390,Kamlavati Gupta Wholesalers,60,10.8,1,22,45
1391,Ramesh Sharma Trading,30,5.8,4,44,18
1392,Shyamkali Agarwal Manufacturing,90,12.2,1,23,54
1393,Ramgopal Patel Distributors,15,1.2,9,55,1
1394,Radhika Joshi Suppliers,45,8.2,3,37,28
1395,Bhagwati Bansal Traders,75,14.5,1,15,63
1396,Savitradevi Verma Industries,30,4.5,4,45,14
1397,Ramlal Yadav Enterprises,60,9.5,2,32,41
1398,Ganga Singh Exporters,20,2.5,8,56,4
1399,Ramkrishna Malhotra Wholesalers,90,13.8,1,16,66
1400,Shantidevi Kapoor Trading,30,6.8,2,38,21
1401,Ramdhan Kumar Manufacturing,45,11.5,1,24,48
1402,Kamala Gupta Distributors,75,10.2,2,33,42
1403,Rambilas Sharma Suppliers,15,3.2,6,57,5
1404,Geetadevi Agarwal Traders,60,8.5,3,39,37
1405,Shivnarayan Patel Industries,30,5.2,4,46,15
1406,Radhika Joshi Enterprises,90,14.8,1,10,69
1407,Ramcharan Bansal Exporters,20,1.8,7,58,2
1408,Sushma Verma Wholesalers,45,7.5,3,40,27
1409,Bhagwan Yadav Trading,75,12.5,1,25,54
1410,Kamladevi Singh Manufacturing,30,4.8,4,47,16
1411,Ramkumar Malhotra Distributors,60,11.8,2,17,49
1412,Shobha Kapoor Suppliers,15,2.2,9,59,2
1413,Ramdayal Kumar Traders,90,15.2,1,8,72
1414,Ganga Gupta Industries,30,6.2,3,41,20
1415,Ramgopal Sharma Enterprises,45,8.8,1,26,32
1416,Sita Agarwal Exporters,75,13.2,1,18,60
1417,Shivram Patel Wholesalers,20,3.5,8,60,6
1418,Radhabai Joshi Trading,60,10.5,2,27,44
1419,Ramlal Bansal Manufacturing,30,5.5,4,48,17
1420,Kamala Verma Distributors,90,12.8,1,19,57
1421,Ramnarayan Yadav Suppliers,15,1.5,7,61,1
1422,Shantidevi Singh Traders,45,9.8,1,42,35
1423,Bhagwanlal Malhotra Industries,75,11.5,2,28,48
1424,Savitri Kapoor Enterprises,30,4.2,4,49,13
1425,Ramkrishna Kumar Exporters,60,8.2,3,43,36
1426,Geetabai Gupta Wholesalers,20,2.8,8,62,4
1427,Shivprakash Sharma Trading,90,14.5,1,12,66
1428,Radhika Agarwal Manufacturing,30,6.5,2,44,22
1429,Ramchandra Patel Distributors,45,7.2,3,29,26
1430,Kamladevi Joshi Suppliers,75,10.8,2,30,45
1431,Bhagwan Bansal Traders,15,3.8,6,63,5
1432,Sushila Verma Industries,60,11.2,1,20,47
1433,Ramkumar Yadav Enterprises,30,5.8,4,50,18
1434,Shobhadevi Singh Exporters,90,13.5,1,21,63
1435,Ramdayal Malhotra Wholesalers,20,1.2,9,64,1
1436,Ganga Kapoor Trading,45,8.5,3,45,30
1437,Ramgopal Kumar Manufacturing,75,12.2,1,22,51
1438,Shantabai Gupta Distributors,30,4.5,4,51,14
1439,Bhagwati Sharma Suppliers,60,9.2,2,31,39
1440,Kamala Agarwal Traders,15,2.5,7,65,3
1441,Ramcharan Patel Industries,90,15.8,1,9,75
1442,Sita Joshi Enterprises,30,6.8,2,46,21
1443,Shivlal Bansal Exporters,45,11.8,1,23,49
1444,Radhika Verma Wholesalers,75,10.5,2,32,44
1445,Ramnarayan Yadav Trading,20,3.2,8,66,5
1446,Geetadevi Singh Manufacturing,60,8.8,1,47,38
1447,Shivram Malhotra Distributors,30,5.2,4,52,15
1448,Savitri Kapoor Suppliers,90,14.2,1,24,66
1449,Ramkrishna Kumar Traders,15,1.8,7,67,2
1450,Kamladevi Gupta Industries,45,7.8,3,48,28
1451,Bhagwan Sharma Enterprises,75,13.8,1,16,63
1452,Shobha Agarwal Exporters,30,4.8,4,53,16
1453,Ramlal Patel Wholesalers,60,11.5,2,25,48
1454,Ganga Joshi Trading,20,2.2,9,68,2
1455,Ramgopal Bansal Manufacturing,90,12.5,1,26,57
1456,Shantidevi Verma Distributors,30,6.2,3,49,20
1457,Ramchandra Yadav Suppliers,45,9.5,1,33,34
1458,Kamala Singh Traders,75,11.2,2,34,47
1459,Shivnarayan Malhotra Industries,15,3.5,6,69,4
1460,Radhika Kapoor Enterprises,60,10.2,2,50,43
1461,Ramkumar Kumar Exporters,30,5.5,4,54,17
1462,Sushila Gupta Wholesalers,90,13.2,1,27,60
1463,Bhagwanlal Sharma Trading,20,1.5,8,70,1
1464,Geetabai Agarwal Manufacturing,45,8.2,3,51,31
1465,Shivram Patel Distributors,75,14.8,1,11,69
1466,Savitradevi Joshi Suppliers,30,4.2,4,55,13
1467,Ramcharan Bansal Traders,60,9.8,1,35,41
1468,Kamladevi Verma Industries,15,2.8,7,71,3
1469,Shobha Yadav Enterprises,90,15.5,1,14,75
1470,Ramlal Singh Exporters,30,6.5,2,52,22
1471,Ganga Malhotra Wholesalers,45,11.2,1,28,48
1472,Ramgopal Kapoor Trading,75,10.8,2,36,45
1473,Shantabai Kumar Manufacturing,20,3.8,5,72,6
1474,Bhagwati Gupta Distributors,60,8.5,3,53,37
