order_id,customer_number,material_number,quantity,term_of_payment,discount,dunning_level,date,amount,customer_name,material_name,base_unit,net_weight,gross_weight,tax_percentage,standard_price,mrp,total_price,currency,plant,storage_location,tax_amount
SO0023,1005,MAT-001003,30,20.0,4.75,8,22-06-2025,435.3,,,,,,,,,,,,,
SO0024,1010,MAT-001003,14,20.0,6.96,7,22-06-2025,203.14,,,,,,,,,,,,,
SO0025,1010,MAT-001007,14,20.0,6.96,7,22-06-2025,252.0,,,,,,,,,,,,,
SO0026,1010,MAT-001007,14,20.0,6.96,7,22-06-2025,252.0,,,,,,,,,,,,,
SO0027,1008,MAT-001010,20,20.0,8.1,5,22-06-2025,3443.2,,,,,,,,,,,,,
SO0028,1010,MAT-001010,13,20.0,6.96,7,22-06-2025,2238.08,,,,,,,,,,,,,
SO0029,1010,MAT-001010,2,20.0,6.96,7,22-06-2025,344.32,,,,,,,,,,,,,
SO0030,1010,MAT-001010,2,20.0,6.96,7,22-06-2025,344.32,,,,,,,,,,,,,
SO0031,1002,MAT-001003,1,20.0,8.1,5,22-06-2025,14.51,,,,,,,,,,,,,
SO0032,1005,MAT-001003,12,20.0,4.75,8,22-06-2025,174.12,,,,,,,,,,,,,
SO0033,1002,MAT-001003,12,20.0,8.1,5,22-06-2025,174.12,,,,,,,,,,,,,
SO0034,1010,MAT-001010,1,20.0,6.96,7,22-06-2025,,Meera Bansal Traders,Epoxy Resin,LTR,1.1,1.3,,145.9,172.16,172.16,INR,P001,SL-A105,
SO0035,1010,MAT-001011,1,20.0,6.96,7,22-06-2025,1050.79,Meera Bansal Traders,Titanium Rod 6mm,PC,0.9,1.0,0.0,890.5,1050.79,1050.79,INR,P003,SL-C303,0.0
SO0036,1010,MAT-001012,12,20.0,6.96,7,2025-06-22,28.92,Meera Bansal Traders,Nylon Cable Tie,PC,0.01,0.012,0.0,2.15,2.41,28.92,INR,P002,SL-B204,0.0
SO0037,1010,MAT-001012,13,20.0,6.96,7,2025-06-22,31.33,Meera Bansal Traders,Nylon Cable Tie,PC,0.01,0.012,12.0,2.15,2.41,35.09,INR,P002,SL-B204,3.76
SO0038,1013,MAT-001012,13,20.0,2.56,9,2025-06-22,31.33,Suresh Yadav Industries,Nylon Cable Tie,PC,0.01,0.012,12.0,2.15,2.41,35.09,INR,P002,SL-B204,3.76
SO0039,1013,MAT-001012,13,20.0,2.56,9,2025-06-22,31.33,Suresh Yadav Industries,Nylon Cable Tie,PC,0.01,0.012,12.0,2.15,2.41,35.09,INR,P002,SL-B204,3.76
SO0040,1013,MAT-001012,13,20.0,2.56,9,2025-06-22,31.33,Suresh Yadav Industries,Nylon Cable Tie,PC,0.01,0.012,12.0,2.15,2.41,35.09,INR,P002,SL-B204,3.76
SO0041,1008,MAT-001003,1,20.0,8.1,5,2025-06-22,14.51,Deepika Patel Manufacturing,Copper Wire 2.5mm,MTR,0.2,0.25,18.0,12.3,14.51,17.12,INR,P002,SL-B201,2.61
SO0042,1005,MAT-001014,1,20.0,4.75,8,2025-06-22,92.75,Manoj Gupta Industries,Silicone Sealant,TUB,0.4,0.48,18.0,78.6,92.75,109.45,INR,P002,SL-B205,16.7
SO0043,1055,MAT-001033,1,20.0,3.16,9,2025-06-22,14691.0,Ajay Sharma Enterprises,Hydraulic Pump,PC,45.6,52.3,18.0,12450.0,14691.0,17335.38,INR,P003,SL-C309,2644.38
SO0044,1025,MAT-001025,5,14.0,1.0,6,2025-06-22,990.0,Ashok Yadav Suppliers,Stainless Steel Wire,KG,1.0,1.0,18.0,167.8,198.0,1168.2,INR,P002,SL-B209,178.2
